video_id	show_slug	is_ugc	ugc_type	curated_label
MrQwN8JorDk	the_sopranos	1		
v76u9U5VGsA	the_sopranos	1		
9EakBKZvfSo	the_sopranos	1		
xIyCHnrWwSA	the_sopranos	1		
YnrB9Bi17rI	the_sopranos	1		
f-LYLRK2Y38	the_sopranos	1		
c9lbju1WpsQ	the_sopranos	1		
eYDbiodGMKk	the_sopranos	1		
9MRzpvM5SdM	the_sopranos	1		
modmq0hnLSA	the_sopranos	1		
BhjzTpkbR0o	the_sopranos	1		
lDjoiUxcRwc	the_sopranos	1		
umRF68jVC3s	the_sopranos	1		
7BdLGSSSvps	the_sopranos	1		
6x4ItHxDeCU	the_sopranos	1		
oRFWvLvYuZc	the_sopranos	1		
7gytMVxQdcA	the_sopranos	1		
uNPmBKP95dk	the_sopranos	1		
SdMFLngPu-Y	the_sopranos	1		
G2efvsl-XwY	the_sopranos	1		
3vdFvOZsqb8	the_sopranos	1		
yJryNRcgv4o	the_sopranos	1		
NjGjT8q96HQ	the_sopranos	1		
8WHxMFxVHgg	the_sopranos	1		
k-l_9yZe3_4	the_sopranos	1		
I9s68FdxcoE	the_sopranos	1		
YAhr3T93eRo	the_sopranos	1		
m-YO0Kt4yVQ	the_sopranos	1		
2BRDiowRugM	the_sopranos	1		
rmhVw6q-KOA	the_sopranos	1		
3X4ruNNLoVU	the_sopranos	1		
jBD61skoMk8	the_sopranos	1		
rjNMb_CRP2A	the_sopranos	1		
EguqGtIEgBc	the_sopranos	1		
tq0_gWGcItw	the_sopranos	1		
wIXJae-mgnY	the_sopranos	1		
I-IirFKDPqU	the_sopranos	1		
ZWmAgM1K2JM	the_sopranos	1		
3V5c-2RWJFg	the_sopranos	1		
2OaE-lGPPvE	the_sopranos	1		
rpX5v1d685A	the_sopranos	1		
E-8Qr7yFpNc	the_sopranos	1		
8GaJhMmpiMw	the_sopranos	1		
qFF6v-fyhSk	the_sopranos	1		
bEbphlE_gWw	the_sopranos	1		
1gLA2MIiRwc	the_sopranos	1		
lobDBt8WTWM	the_sopranos	1		
bAKCX9yRcCU	the_sopranos	1		
wb1ggHekLYg	the_sopranos	1		
tendORuzqGc	the_sopranos	1		
ZU7Fig4jZGY	the_sopranos	1		
Drv54Auw_mg	the_sopranos	1		
XZp6zxh2yjE	the_sopranos	1		
uQhMhEBvzxs	the_sopranos	1		
3OXs0xAOf8I	the_sopranos	1		
L_2wn2Btf5o	the_sopranos	1		
EM63ZSr6I7Y	the_sopranos	1		
INyv0IfLSkU	the_sopranos	1		
oK6qtCQPbyA	the_sopranos	1		
